id,name,crop,category,region,description,estimated_price_inr,unit,source_table,source_row
nei-bhut-jolokia-bhut-jolokia,Bhut Jolokia,Bhut Jolokia,North East India Varieties,North East India,"High heat index; up to 1,000,000 Scoville Heat Units (SHU) 22 .",216,kg/seedling/bundle,3,1
nei-raja-mircha-raja-mircha,Raja Mircha,Raja Mircha,North East India Varieties,North East India,"Highly pungent (800,000–1,000,000 SHU) with a unique smoky flavor 22 .",230,kg/seedling/bundle,3,2
nei-bird-s-eye-chilli-bird-s-eye-chilli,Bird's Eye Chilli,Bird's Eye Chilli,North East India Varieties,North East India,"Small, intensely pungent chillies; rich in vitamins 26 .",202,kg/seedling/bundle,3,3
nei-dalle-khursani-dalle-khursani,Dalle Khursani,Dalle Khursani,North East India Varieties,North East India,"Red cherry pepper; high pungency (100,000–350,000 SHU) 54 .",208,kg/seedling/bundle,3,4
nei-ginger-karbi-anglong-ginger-karbi-anglong,Ginger (Karbi Anglong),Ginger (Karbi Anglong),North East India Varieties,North East India,Low fiber in Aizol ; high oleoresin oil recovery ( Gingerin ) 48 .,222,kg/seedling/bundle,3,5
nei-lakadong-turmeric-lakadong-turmeric,Lakadong Turmeric,Lakadong Turmeric,North East India Varieties,North East India,Curcumin content of 7% to 12%; bright golden-yellow hue 17 .,210,kg/seedling/bundle,3,6
nei-black-turmeric-black-turmeric,Black Turmeric,Black Turmeric,North East India Varieties,North East India,Curcuma caesia ; dark bluish-black rhizome; rich in camphor and cineole.,234,kg/seedling/bundle,3,7
nei-turmeric-general-turmeric-general,Turmeric (General),Turmeric (General),North East India Varieties,North East India,Standard regional varieties; average curcumin content of 3% to 5% 59 .,230,kg/seedling/bundle,3,8
nei-large-cardamom-large-cardamom,Large Cardamom,Large Cardamom,North East India Varieties,North East India,"Bold capsules with a strong smoky, camphoraceous aroma 53 .",208,kg/seedling/bundle,3,9
nei-cinnamon-cinnamon,Cinnamon,Cinnamon,North East India Varieties,North East India,"Sourced from Cinnamomum verum ; sweet, delicate, woody aroma 13 .",220,kg/seedling/bundle,3,10
nei-bay-leaf-tej-patta-bay-leaf-tej-patta,Bay Leaf (Tej Patta),Bay Leaf (Tej Patta),North East India Varieties,North East India,Sourced around Shillong; high essential oil content 51 .,202,kg/seedling/bundle,3,11
nei-black-pepper-black-pepper,Black Pepper,Black Pepper,North East India Varieties,North East India,Bold black peppercorns; high piperine content and intense heat.,216,kg/seedling/bundle,3,12
nei-long-pepper-long-pepper,Long Pepper,Long Pepper,North East India Varieties,North East India,Piper longum (Pipli); sweet-pungent woody heat; high piperine content 13 .,238,kg/seedling/bundle,3,13
nei-perilla-seed-perilla-seed,Perilla Seed,Perilla Seed,North East India Varieties,North East India,Known as Kenye ; rich in alpha-linolenic acid (omega-3) and proteins.,228,kg/seedling/bundle,3,14
nei-coriander-coriander,Coriander,Coriander,North East India Varieties,North East India,High-aroma coriander varieties grown in moist valley soils 13 .,216,kg/seedling/bundle,3,15
nei-fennel-fennel,Fennel,Fennel,North East India Varieties,North East India,"Sweet, anise-like seeds rich in anethole; grown in cold climates.",220,kg/seedling/bundle,3,16
nei-star-anise-star-anise,Star Anise,Star Anise,North East India Varieties,North East India,Illicium griffithii ; star-shaped carpels rich in shikimic acid 4 .,224,kg/seedling/bundle,3,17
nei-clove-clove,Clove,Clove,North East India Varieties,North East India,Premium flower buds rich in eugenol; intense numbing heat.,206,kg/seedling/bundle,3,18
nei-nutmeg-nutmeg,Nutmeg,Nutmeg,North East India Varieties,North East India,Tropical seed rich in myristicin and sweet aromatic oils.,204,kg/seedling/bundle,3,19
nei-akhuni-axone-akhuni-axone,Akhuni / Axone,Akhuni / Axone,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,4,1
nei-tungrymbai-tungrymbai,Tungrymbai,Tungrymbai,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,4,2
nei-hawaijar-hawaijar,Hawaijar,Hawaijar,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,4,3
nei-bekang-bekang,Bekang,Bekang,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,4,4
nei-ngari-ngari,Ngari,Ngari,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,4,5
nei-shidal-shidal,Shidal,Shidal,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,4,6
nei-hentak-hentak,Hentak,Hentak,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,4,7
nei-tungtap-tungtap,Tungtap,Tungtap,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,4,8
nei-anishi-n-oshi-anishi-n-oshi,Anishi / Nüoshi,Anishi / Nüoshi,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,4,9
nei-mesu-mesu,Mesu,Mesu,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,4,10
nei-soibum-soibum,Soibum,Soibum,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,4,11
nei-soidon-soidon,Soidon,Soidon,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,4,12
nei-bastenga-bastenga,Bastenga,Bastenga,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,4,13
nei-chhurpi-chhurpi,Chhurpi,Chhurpi,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,4,14
nei-kinema-kinema,Kinema,Kinema,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,4,15
nei-bamboo-fresh-bamboo-shoot-bah-gaj,Fresh Bamboo Shoot (Bah Gaj),Bamboo,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,5,1
nei-bamboo-fermented-bamboo-shoot-khorisa,Fermented Bamboo Shoot (Khorisa),Bamboo,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,5,2
nei-bamboo-bamboo-shoot-pickle,Bamboo Shoot Pickle,Bamboo,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,5,3
nei-bamboo-bamboo-shoot-powder,Bamboo Shoot Powder,Bamboo,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,5,4
nei-bamboo-bamboo-tea,Bamboo Tea,Bamboo,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,5,5
nei-honey-wild-forest-honey,Wild Forest Honey,Honey,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,5,6
nei-honey-rock-bee-honey,Rock Bee Honey,Honey,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,5,7
nei-honey-stingless-bee-honey,Stingless Bee Honey,Honey,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,5,8
nei-honey-organic-honey,Organic Honey,Honey,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,5,9
nei-honey-bamboo-honey,Bamboo Honey,Honey,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,5,10
nei-grains-joha-rice,Joha Rice,Grains,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,5,11
nei-grains-bao-rice,Bao Rice,Grains,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,5,12
nei-grains-black-rice-chakhao,Black Rice (Chakhao),Grains,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,5,13
nei-grains-finger-millet-marua,Finger Millet (Marua),Grains,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,5,14
nei-grains-foxtail-millet,Foxtail Millet,Grains,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,5,15
nei-pulses-rajma-kidney-beans,Rajma (Kidney Beans),Pulses,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,6,1
nei-pulses-black-gram-urad,Black Gram (Urad),Pulses,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,6,2
nei-pulses-green-gram-moong,Green Gram (Moong),Pulses,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,6,3
nei-pulses-pigeon-pea-arhar,Pigeon Pea (Arhar),Pulses,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,6,4
nei-oilseeds-mustard-seed,Mustard Seed,Oilseeds,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,6,5
nei-oilseeds-perilla-seed,Perilla Seed,Oilseeds,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,6,6
nei-oilseeds-sesame-seed,Sesame Seed,Oilseeds,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,6,7
nei-nuts-arecanut-kwai-gue,Arecanut (Kwai / Gue),Nuts,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,6,8
nei-nuts-walnut,Walnut,Nuts,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,6,9
nei-nuts-chestnut,Chestnut,Nuts,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,6,10
nei-tea-coffee-assam-tea,Assam Tea,Tea / Coffee,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,6,11
nei-tea-coffee-orthodox-tea,Orthodox Tea,Tea / Coffee,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,6,12
nei-tea-coffee-singpho-tea-phalap,Singpho Tea (Phalap),Tea / Coffee,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,6,13
nei-tea-coffee-arabica-coffee,Arabica Coffee,Tea / Coffee,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,6,14
nei-tea-coffee-robusta-coffee,Robusta Coffee,Tea / Coffee,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,6,15
nei-animal-yak-milk,Yak Milk,Animal,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,7,1
nei-animal-mithun-meat,Mithun Meat,Animal,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,7,2
nei-animal-indigenous-pork,Indigenous Pork,Animal,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,7,3
nei-animal-free-range-chicken,Free Range Chicken,Animal,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,7,4
nei-animal-duck-meat,Duck Meat,Animal,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,7,5
nei-fisheries-freshwater-prawn,Freshwater Prawn,Fisheries,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,7,6
nei-fisheries-river-fish,River Fish,Fisheries,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,7,7
nei-fisheries-smoked-fish,Smoked Fish,Fisheries,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,7,8
nei-fisheries-fermented-fish,Fermented Fish,Fisheries,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,7,9
nei-forest-wild-fern-dhekia,Wild Fern (Dhekia),Forest,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,7,10
nei-forest-wild-berries,Wild Berries,Forest,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,7,11
nei-forest-wild-citrus,Wild Citrus,Forest,North East India Varieties,North East India,North East India agricultural variety,164,kg/seedling/bundle,7,12
